Date,Open,High,Low,Close,Volume,OpenInt
2023-09-26,4382,4382,4305.5,4314.75,1758048,2121986
2023-09-27,4320.25,4336.5,4277,4313.5,1965913,2107054
2023-09-28,4323.25,4355.75,4301,4337.5,2012088,2091483
2023-09-29,4342,4371.25,4311,4325.5,2106053,2100358
2023-10-02,4349,4355.5,4295.5,4324.25,1950463,2105927
2023-10-03,4326,4335.75,4251.25,4264.75,2256808,2119784
2023-10-04,4262.75,4304,4235.5,4297.75,2168271,2088483
2023-10-05,4291.5,4302,4258,4290.75,1673477,2096439
2023-10-06,4287.5,4358.5,4242.25,4341.5,2216456,2076216
2023-10-09,4315,4375.75,4299.5,4368.75,1485254,2062376
